Factual ID,Name,Address,Locality (Town/City),Region (State/Province),Post Code,Country,Neighborhood,Tel,Website,Latitude,Longitude,Category Labels,Chain Name,,,,
88dc1adc-32d9-4afe-9da8-2d770a6703c6,Safeway,5290 Diamond Heights Blvd,San Francisco,CA,94131,us,"Diamond Heights,Vista del Monte",(415) 824-7744,http://www.safeway.com/,37.743754,-122.439155,"Retail,Supermarkets and Groceries",Safeway,,,,
77fd78bb-ed15-4cb4-8008-bb8379450132,Lucky,1515 Sloat Blvd,San Francisco,CA,94132,us,"Lake Shore,Westlake",(415) 681-4300,https://www.luckysupermarkets.com/,37.733092,-122.489522,"Retail,Supermarkets and Groceries",Lucky,,,,
7c59b6d6-00aa-46c7-a523-0819dcb85a64,Whole Foods,690 Stanyan St,San Francisco,CA,94117,us,"Cole Valley,Haight-Ashbury,Park View Commons,Upper Haight",(415) 876-6740,http://www.wholefoodsmarket.com,37.76943,-122.452859,"Retail,Supermarkets and Groceries",Whole Foods,,,,
fa629981-f247-4131-822d-a31e160b3ebe,Safeway,350 Bay St,San Francisco,CA,94133,us,"Fisherman's Wharf,North Beach",(415) 781-4374,http://www.safeway.com/,37.806043,-122.412808,"Retail,Supermarkets and Groceries",Safeway,,,,
ddef2730-8622-4f4e-8cd6-d6260863bee3,Trader Joe's,555 9th St,San Francisco,CA,94103,us,"SOMISSPO,South Of Market",(415) 863-1292,http://www.traderjoes.com/,37.770939,-122.407511,"Retail,Supermarkets and Groceries",Trader Joe's,,,,
83dfaa71-f48d-4cff-af44-b72ee776ba11,Real Food Company,2140 Polk St,San Francisco,CA,94109,us,"Nob Hill,Polk Gulch,Russian Hill",(415) 673-7420,http://www.RealFoofCo.com,37.796544,-122.421711,"Retail,Supermarkets and Groceries",N/A,,,,
dc9e8ab5-08fe-4bbd-881b-e0ef4b1fc260,Safeway,3350 Mission St,San Francisco,CA,94110,us,"Bernal Heights,Noe Valley,Transmission",(415) 826-2866,http://www.safeway.com/,37.743246,-122.422288,"Retail,Supermarkets and Groceries",Safeway,,,,
d098cdbe-dbf6-4ee9-a322-cbcdfcfdb547,Whole Foods,2001 Market St,San Francisco,CA,94114,us,"Duboce Triangle,Mission Dolores",(415) 626-1430,http://www.wholefoodsmarket.com,37.768692,-122.427088,"Retail,Supermarkets and Groceries",Whole Foods,,,,
49755616-0be1-4e4b-88b2-b05566b883fa,Rincon Market,98 Howard St,San Francisco,CA,94105,us,"Financial District,Rincon Hill,South Beach,South Of Market",(415) 512-8066,N/A,37.791526,-122.39245,"Retail,Supermarkets and Groceries",N/A,,,,
d3927ec0-7324-42f6-8643-0c57f226bb5f,Safeway,735 7th Ave,San Francisco,CA,94118,us,"Inner Richmond,Richmond District",(415) 683-4070,http://www.safeway.com/,37.774601,-122.465491,"Retail,Supermarkets and Groceries",Safeway,,,,
270ab625-bb4a-496b-b540-d4d359d44ba2,R Image Market,2898 Folsom St,San Francisco,CA,94110,us,"Inner Mission,Mission,Mission District",(415) 648-5400,http://r-image-market-san-francisco-ca.placestars.com,37.750992,-122.414146,"Retail,Supermarkets and Groceries",N/A,,,,
e0d46440-40c1-4377-ae4b-afbe301a4ca8,Good Life Grocery,1524 20th St,San Francisco,CA,94107,us,"Potrero District,Victoria Mews",(415) 282-9204,http://www.potrerohillpsychotherapy.com,37.760186,-122.396843,"Retail,Supermarkets and Groceries",N/A,,,,
97a07f1a-337c-4964-9a38-c72799c24e9a,Nijiya Market,1737 Post St,San Francisco,CA,94115,us,"Japantown,Laguna Heights,Little Osaka",(415) 563-1901,http://www.nijiya.com/,37.785401,-122.430299,"Retail,Supermarkets and Groceries",Nijiya Market,,,,
489d23f6-c800-4bfe-baf4-6b800e29de73,Faye's Video,3614 18th St,San Francisco,CA,94110,us,"Mission,Mission District,Mission Dolores",(415) 522-0434,http://www.fayesvideo.blogspot.com,37.761619,-122.424305,"Retail,Supermarkets and Groceries",N/A,,,,
c0215878-d3c5-48a9-b383-a2e750c6f305,Harvest Hills Market,3216 Folsom St,San Francisco,CA,94110,us,Bernal Heights,(415) 341-1515,http://www.toharvest.com,37.746735,-122.413823,"Retail,Supermarkets and Groceries",N/A,,,,
5661c451-7519-4c64-9f9f-d87e52988744,Courtney Produce,101 Castro St,San Francisco,CA,94114,us,"Castro,Duboce Triangle",(415) 626-1850,http://courtney-produce-ii-san-francisco-ca.placestars.com,37.767267,-122.435461,"Retail,Supermarkets and Groceries",N/A,,,,
58ccae61-402e-4817-92f1-f7e2372ee6e2,Roxie Food Center,1901 San Jose Ave,San Francisco,CA,94112,us,Sunnyside,(415) 587-2345,http://roxie.com,37.726674,-122.441152,"Retail,Supermarkets and Groceries",N/A,,,,
b61c6ac1-b81a-4ba1-a0f2-69be045ea744,Trader Joe's,265 Winston Dr,San Francisco,CA,94132,us,"Lakeside,Stonestown",(415) 665-1835,http://www.traderjoes.com/,37.726717,-122.476394,"Retail,Supermarkets and Groceries",Trader Joe's,,,,
0f93d976-b9bf-43ef-bc8d-3f7920fb8965,Pacific Supermarket,2900 Alemany Blvd,San Francisco,CA,94112,us,"Oceanview,Outer Mission",(415) 337-1628,http://www.pacificsupermarket.com/,37.711984,-122.452887,"Retail,Supermarkets and Groceries",N/A,,,,
08d640b0-ad1e-4322-b3cc-ef3fe84da900,Mollie Stone's Markets,2435 California St,San Francisco,CA,94115,us,Lower Pacific Heights,(415) 567-4902,http://www.molliestones.com/,37.788607,-122.434503,"Retail,Supermarkets and Groceries",Mollie Stone's Markets,,,,
