Factual ID,Name,Address,Locality (Town/City),Region (State/Province),Post Code,Country,Neighborhood,Tel,Website,Latitude,Longitude,Category Labels,Chain Name,,
0ede11d8-051c-41cb-a7cb-be2e1772a682,Dogpatch Biofuels,765 Pennsylvania Ave,San Francisco,CA,94107,us,"Dogpatch,Potrero District,Victoria Mews",(415) 642-7378,http://dogpatchbiofuels.com,37.756473,-122.392825,"Transportation,Gas Stations,Retail,Convenience Stores",N/A,,
0249cf2a-248f-4824-9208-e01ff5db11e3,7-Eleven,2222 Taraval St,San Francisco,CA,94116,us,"Parkside,Westlake",(415) 665-4747,http://www.7-eleven.com/,37.742654,-122.490093,"Retail,Convenience Stores",7-Eleven,,
60f8e9c7-7d26-41e3-ad31-7ff0ae76446f,7-Eleven,564 Market St,San Francisco,CA,94104,us,"Chinatown,Financial District,French Quarter,Union Square",(415) 956-3368,http://www.7-eleven.com/,37.789718,-122.401162,"Retail,Convenience Stores",7-Eleven,,
26246f4f-4ac6-4415-8cf0-5e7e871bc2ac,7-Eleven,5100 Geary Blvd,San Francisco,CA,94118,us,"Central Richmond,Lake,Little Russia,Richmond District",(415) 750-1711,http://www.7-eleven.com/,37.780859,-122.474176,"Retail,Convenience Stores",7-Eleven,,
00e30c01-4e33-4c59-aa8a-47575f24fcaf,7-Eleven,2000 Ocean Ave,San Francisco,CA,94127,us,"Ingleside Terrace,Mount Davidson Manor,Westlake",(415) 584-7111,http://www.7-eleven.com/,37.726546,-122.464567,"Retail,Convenience Stores",7-Eleven,,
36670536-7665-40e6-bc00-bc0731ecb138,7-Eleven,1388 46th Ave,San Francisco,CA,94122,us,"Outer Sunset,Outset",(415) 661-5577,http://www.7-eleven.com/,37.76072,-122.505785,"Retail,Convenience Stores",7-Eleven,,
5cac4617-88c9-4676-8e64-6d37b24f6fb9,7-Eleven,3998 18th St,San Francisco,CA,94114,us,"Castro,Eureka Valley,Eureka Valley Dolores Heights",(415) 255-9753,http://www.7-eleven.com/,37.761143,-122.432661,"Retail,Convenience Stores",7-Eleven,,
6ebc1c76-4d8a-4978-b824-05d19dcfe1d7,7-Eleven,2200 Bay Shore Blvd,San Francisco,CA,94134,us,"Bayshore,Visitacion Valley",(415) 468-8646,http://www.7-eleven.com/,37.712406,-122.403274,"Retail,Convenience Stores",7-Eleven,,
4335d953-b86e-4eab-b14e-8e7d02f1f7a7,Puff N Stuff,504 Castro St,San Francisco,CA,94114,us,"Castro,Eureka Valley",(415) 701-7833,http://www.puffnstuff.com,37.76079,-122.435149,"Retail,Convenience Stores,Transportation,Gas Stations",N/A,,
0b313d33-4aac-47f9-a444-959a298b365a,7-Eleven,527 Sutter St,San Francisco,CA,94102,us,"Chinatown,Civic Center,NOMA,Union Square",(415) 398-5315,http://www.7-eleven.com/,37.788951,-122.409075,"Retail,Convenience Stores",7-Eleven,,
